t;Prec;Temp;PET
738890;0;10.46;0.6
738891;0;10.54;0.61
738892;0;9;0.45
738893;0;8.45;0.4
738894;109.7;11.43;0.72
738895;35.2;11.66;0.75
738896;0;11.05;0.67
738897;0;9.2;0.47
738898;0;10.14;0.57
738899;0;8.79;0.43
738900;0;9.1;0.47
738901;0;8.44;0.4
738902;10.9;7.37;0.31
738903;37.6;8.48;0.41
738904;3.1;5.37;0.17
738905;0;5.31;0.17
738906;2.7;8.19;0.38
738907;0.1;9.05;0.47
738908;0;7.16;0.3
738909;0;4.25;0.11
738910;0;3.13;0.06
738911;0;3.81;0.09
738912;0;3.38;0.07
738913;0;3.68;0.08
738914;0;3.61;0.08
738915;0;4.21;0.11
738916;0;5.81;0.2
738917;0;7.13;0.3
738918;0;7.05;0.3
738919;0;6.98;0.29
738920;0;7.98;0.38
738921;0;8.03;0.38
738922;0;10.68;0.67
738923;0;10.35;0.63
738924;1.9;8.73;0.46
738925;5.1;6.99;0.3
738926;2.1;8.37;0.42
738927;0.9;6.52;0.26
738928;0;7.65;0.36
738929;0;9.36;0.53
738930;0;9.77;0.58
738931;0;9.93;0.6
738932;0;10.44;0.66
738933;0;10.83;0.71
738934;0;10.84;0.72
738935;0;13.07;1.03
738936;0;14.54;1.28
738937;0;14.88;1.34
738938;0;15.23;1.41
738939;0;11.99;0.89
738940;0;9.74;0.59
738941;0;6.39;0.26
738942;9.9;5.27;0.18
738943;1.2;7.33;0.35
738944;0;7.97;0.41
738945;0;6.41;0.27
738946;0;5.87;0.23
738947;0;6.81;0.3
738948;0;7.48;0.37
738949;0;9.7;0.61
738950;0.7;9.81;0.62
738951;74.8;10.25;0.68
738952;11.7;11.17;0.81
738953;12.2;12.28;0.97
738954;32.1;11.78;0.9
738955;0;13.7;1.21
738956;0;13.74;1.22
738957;0;16.59;1.77
738958;0;16.2;1.7
738959;0;13.43;1.18
738960;0;15.58;1.58
738961;0;17.87;2.07
738962;2.5;13.3;1.17
738963;0;11.63;0.91
738964;0;12.97;1.12
738965;0;13.62;1.24
738966;0;14.61;1.43
738967;0;15.93;1.69
738968;0;16.05;1.72
738969;0;15.86;1.69
738970;0;17.22;1.99
738971;0;17.42;2.04
738972;0;17.12;1.98
738973;0;17.47;2.06
738974;0;20.07;2.71
738975;0;18.92;2.43
738976;0;19.25;2.52
738977;0;17.04;1.99
738978;0;16.84;1.95
738979;0;16.04;1.78
738980;0;15.31;1.63
738981;0;15.67;1.71
738982;0;16.86;1.98
738983;0;17.25;2.08
738984;0;20.01;2.78
738985;0;20.47;2.91
738986;0;20.55;2.95
738987;0;19.74;2.73
738988;0;17.84;2.25
738989;0;15.83;1.79
738990;0;16.2;1.88
738991;0;18.66;2.48
738992;0;20.34;2.94
738993;0;19.78;2.79
738994;0;19.55;2.74
738995;0;18.43;2.45
738996;0;18.78;2.55
738997;0;16.63;2.02
738998;8.4;13.64;1.38
738999;0;16.41;1.98
739000;0;20;2.91
739001;0;22.39;3.63
739002;0;23.94;4.15
739003;0;25.45;4.68
739004;0;26.72;5.16
739005;0;23.28;3.96
739006;0;20.66;3.15
739007;0;21.51;3.41
739008;0;22.66;3.79
739009;0;22.79;3.84
739010;0;20.52;3.14
739011;0;21.3;3.38
739012;0;20.47;3.14
739013;0;21.34;3.41
739014;0;22.82;3.89
739015;0;24.8;4.58
739016;0;23.09;4
739017;0;21.75;3.57
739018;0;20;3.04
739019;0;18.53;2.63
739020;0;18.1;2.51
739021;0;19.4;2.88
739022;0;20.65;3.26
739023;4.7;18.52;2.65
739024;3.1;13.78;1.49
739025;0;14.71;1.7
739026;0.3;16.47;2.12
739027;0;14.98;1.77
739028;6.6;12.33;1.21
739029;8.7;12.6;1.27
739030;0;14.33;1.63
739031;0.3;16.95;2.26
739032;0;19.25;2.89
739033;10.8;17.89;2.52
739034;11.5;14.49;1.67
739035;0;15.41;1.89
739036;0;16.27;2.1
739037;0;17.9;2.53
739038;0;19.35;2.95
739039;8.7;16.9;2.27
739040;5.8;16;2.04
739041;3.8;17.67;2.48
739042;0.3;19.95;3.14
739043;1.7;22.05;3.82
739044;0.9;19.89;3.13
739045;5.6;19.15;2.91
739046;13.1;17.46;2.43
739047;0;18.76;2.8
739048;0;20.16;3.22
739049;0;20.14;3.22
739050;0;18.45;2.72
739051;0;21.79;3.75
739052;0;25.12;4.95
739053;0;26.95;5.67
739054;0;28.01;6.03
739055;0;25.43;5.07
739056;0;23.64;4.4
739057;0;21.53;3.67
739058;0;22.23;3.91
739059;0;23.76;4.44
739060;0;27;5.69
739061;0;28.75;6.27
739062;0;30.67;6.78
739063;0;31.27;6.91
739064;0;31.09;6.87
739065;0;30.32;6.69
739066;0;28.47;6.17
739067;0;26.83;5.62
739068;0;26.65;5.54
739069;0;28.43;6.15
739070;0;28.63;6.21
739071;0;28;6
739072;0;27.17;5.72
739073;0;27.08;5.68
739074;0;26.28;5.36
739075;0;26.01;5.26
739076;0;28.89;6.25
739077;0;31.84;6.96
739078;0;32.83;7.12
739079;0;31.5;6.88
739080;0;30.61;6.68
739081;0;29.24;6.32
739082;0;26.88;5.55
739083;0;28.03;5.94
739084;0;32.9;7.08
739085;0;32.88;7.06
739086;0;32.2;6.94
739087;0;30;6.46
739088;0;26.75;5.46
739089;0;27.22;5.61
739090;0;28.75;6.09
739091;0;27.34;5.63
739092;0;25.2;4.82
739093;0;26.58;5.35
739094;0;25.53;4.93
739095;0;26.57;5.32
739096;0;29.07;6.11
739097;0;29.93;6.33
739098;0;28.92;6.04
739099;0;28.19;5.82
739100;0;28.11;5.78
739101;0;26.68;5.29
739102;0;27.64;5.61
739103;0;28.58;5.88
739104;0;31.68;6.61
739105;0;32.44;6.72
739106;0;33.22;6.82
739107;0;33.73;6.87
739108;0;33.39;6.81
739109;0;33.65;6.83
739110;0;32.64;6.67
739111;0;30.9;6.34
739112;0;29.79;6.07
739113;0;29.73;6.04
739114;0;28.06;5.57
739115;0;27.09;5.25
739116;0;27.2;5.28
739117;0;29.73;5.98
739118;0;31.67;6.37
739119;0;32.09;6.43
739120;0;31.65;6.33
739121;0;31.69;6.32
739122;0;32.06;6.37
739123;0;32.64;6.44
739124;0.2;30.67;6.07
739125;0;23.68;3.94
739126;0;24.95;4.35
739127;0;26.47;4.87
739128;0;25.32;4.45
739129;0;25.25;4.42
739130;0;25.86;4.61
739131;0;20.84;3.02
739132;23.8;16.82;1.99
739133;0.7;18.73;2.44
739134;0;20.87;3
739135;0;23.39;3.74
739136;0;24.56;4.09
739137;0;24.25;3.98
739138;0;23.07;3.6
739139;0;22.29;3.36
739140;0;21.95;3.25
739141;0;21.43;3.09
739142;0;22.56;3.41
739143;0;24.27;3.91
739144;0.1;22.67;3.42
739145;0;20.73;2.86
739146;6.9;17.02;1.95
739147;0;16.93;1.92
739148;0;19.09;2.42
739149;0;19.51;2.51
739150;9.1;17.58;2.04
739151;22.9;16.89;1.89
739152;0;18.42;2.22
739153;0;22.02;3.14
739154;0;22.95;3.38
739155;0;22.68;3.3
739156;0;24.81;3.91
739157;0;24.65;3.85
739158;0;25.71;4.16
739159;0;25.81;4.18
739160;0;26.66;4.44
739161;0;26.73;4.45
739162;0;25.57;4.06
739163;0;24.52;3.73
739164;0;25.13;3.9
739165;0;26.65;4.36
739166;0;26.95;4.43
739167;0;25.05;3.84
739168;0;23.41;3.36
739169;0;21.9;2.94
739170;0;21.77;2.89
739171;0;22.34;3.03
739172;0;22.19;2.98
739173;0.5;20.49;2.55
739174;0;18.21;2.02
739175;0;18.97;2.18
739176;0;20.75;2.58
739177;11.8;16.63;1.68
739178;96.9;15.41;1.44
739179;5.1;13.16;1.06
739180;0;13.65;1.13
739181;13.6;13.85;1.16
739182;15.3;12.86;1
739183;9.5;12.6;0.96
739184;41.4;14.25;1.21
739185;40.3;14.49;1.25
739186;12.3;14.11;1.18
739187;0;14.1;1.18
739188;0.1;14;1.16
739189;6;13.32;1.05
739190;1.3;11.97;0.85
739191;0.1;13.97;1.14
739192;32.9;13.86;1.12
739193;0.6;10.91;0.7
739194;57.5;12.02;0.84
739195;0.4;11.3;0.75
739196;0;10.98;0.7
739197;0;9.41;0.52
739198;0;10.2;0.61
739199;2.7;12.09;0.84
739200;0;12.2;0.85
739201;0;12.95;0.96
739202;0;13.88;1.09
739203;0;15.3;1.32
739204;0;16.49;1.52
739205;0;16.78;1.56
739206;0;15.65;1.36
739207;0;15.9;1.4
739208;0;16.67;1.53
739209;0;17.7;1.72
739210;0;14.63;1.18
739211;0;13.18;0.97
739212;0;10.14;0.58
739213;0;9.84;0.54
739214;0;9.46;0.5
739215;0;9.63;0.52
739216;0;9.95;0.55
739217;0;9.8;0.54
739218;0;9.98;0.55
739219;54.5;12.19;0.82
739220;39.4;13.18;0.95
739221;29.1;10.31;0.59
739222;0;7.53;0.32
739223;0;7.36;0.3
739224;18.4;8.83;0.43
739225;0.4;8.94;0.44
739226;12.1;11.77;0.75
739227;2.2;12.38;0.83
739228;28.2;12.02;0.78
739229;0;10.93;0.65
739230;0;12.76;0.88
739231;0;15.47;1.28
739232;0;16.83;1.5
739233;4.1;11.09;0.67
739234;0;7.47;0.31
739235;0;8.43;0.39
739236;0;10.55;0.6
739237;0;9.01;0.45
739238;0;7.22;0.29
739239;0;6.82;0.26
739240;0;7.02;0.27
739241;0;7.02;0.27
739242;0;9.18;0.46
739243;0;9.14;0.46
739244;0;8.32;0.38
739245;0;7.03;0.28
739246;0;7.82;0.34
739247;0;7.42;0.31
739248;0;8.56;0.4
739249;0;11.12;0.67
739250;0;10.38;0.59
739251;0;7.3;0.3
739252;0;10.68;0.67
739253;0;10.71;0.67
739254;0;11.76;0.8
739255;9.2;11.14;0.73
739256;3.8;7.43;0.34
739257;0;5.71;0.21
739258;0;5.43;0.19
739259;0.1;6.15;0.24
739260;12.3;9.58;0.55
739261;0;8.8;0.47
739262;0;8.21;0.42
739263;0;8.72;0.47
739264;0;12.73;0.95
739265;0;14.5;1.21
739266;0;12.84;0.96
739267;9;13.37;1.04
739268;53.1;12.13;0.87
739269;16;11.55;0.8
739270;56.3;10.29;0.64
739271;0;7.83;0.39
739272;0;8.79;0.48
739273;0;8.3;0.44
739274;0;12.97;1
739275;0;15.99;1.48
739276;0;19.13;2.07
739277;0;16.74;1.62
739278;0;17.55;1.77
739279;0;13.77;1.13
739280;0;13.08;1.03
739281;0;11.28;0.79
739282;0;10.95;0.75
739283;0;10.57;0.7
739284;0;11.86;0.87
739285;0;12.1;0.91
739286;0;11.05;0.77
739287;0;11.42;0.82
739288;0;11.33;0.81
739289;0;11.07;0.78
739290;6.8;10.78;0.74
739291;136;9.58;0.6
739292;5.6;8.51;0.48
739293;131.2;9.14;0.55
739294;112.3;13.26;1.1
739295;0;14.5;1.31
739296;0;17.82;1.93
739297;24.7;15.29;1.45
739298;0;11.14;0.81
739299;0;11.44;0.85
739300;0;12.25;0.97
739301;0;13.57;1.18
739302;0;14.55;1.35
739303;0;14.4;1.33
739304;12.1;13.38;1.16
739305;18.3;8.06;0.45
739306;0.8;7.23;0.37
739307;27.6;8.47;0.5
739308;62.3;8.21;0.47
739309;0;7.1;0.36
739310;0;8.45;0.5
739311;0;9.67;0.65
739312;0;8.6;0.52
739313;30.6;7.23;0.38
739314;6.9;7.04;0.36
739315;2.4;9.48;0.64
739316;0;10.89;0.83
739317;0;10.65;0.79
739318;40.2;8.82;0.56
739319;36.7;6.02;0.28
739320;112.6;7.23;0.39
739321;20.9;7.59;0.43
739322;0;9.96;0.71
739323;0;11.58;0.95
739324;0;14.43;1.43
739325;0;13.45;1.26
739326;0;14.46;1.45
739327;0;16.43;1.84
739328;0;19.99;2.65
739329;0;19.75;2.6
739330;0;21.26;3
739331;0;16.18;1.81
739332;0;16.21;1.82
739333;0;19.77;2.64
739334;0;21.28;3.04
739335;7.8;18.27;2.3
739336;52.2;11;0.9
739337;39.3;6.2;0.31
739338;31.7;8.06;0.51
739339;120.4;10.48;0.83
739340;39.1;8.71;0.59
739341;69.8;7.08;0.4
739342;89.4;6.83;0.38
739343;7;8.58;0.58
739344;0;11.03;0.93
739345;0;13.61;1.37
739346;0;15.55;1.77
739347;0;20.04;2.84
739348;0;22.31;3.47
739349;0;19.06;2.6
739350;1.5;14.08;1.49
739351;0;13.7;1.42
739352;0;16.03;1.9
739353;0;18.57;2.51
739354;0;18.18;2.42
739355;0;18.66;2.54
739356;0;19.33;2.73
739357;0;19.85;2.87
739358;0;21.87;3.45
739359;0;20.83;3.16
739360;0;18.38;2.51
739361;0;17.05;2.19
739362;0;15.62;1.87
739363;0;15.89;1.93
739364;0;16.52;2.08
739365;0;16.85;2.17
739366;0;16.28;2.04
739367;0;15.94;1.96
739368;0;13.51;1.45
739369;28.6;11.01;0.99
739370;0;11.63;1.1
739371;0;11.63;1.11
739372;13.1;11.12;1.02
739373;29.3;10.99;1
739374;0;11.62;1.11
739375;0;14.29;1.64
739376;0;17.44;2.38
739377;0;17.8;2.47
739378;0;16.98;2.27
739379;0;18.72;2.73
739380;0;20.01;3.09
739381;0;20.48;3.24
739382;0;21.13;3.44
739383;0;22.02;3.72
739384;0;20.91;3.39
739385;0;20.93;3.4
739386;0.2;17.17;2.36
739387;0;14.49;1.72
739388;0;14.42;1.71
739389;0.9;13.81;1.58
739390;0;14.97;1.84
739391;0;15.12;1.88
739392;0;14.12;1.66
739393;0;14.51;1.75
739394;0;17.72;2.54
739395;0;19.88;3.14
739396;0;21.41;3.62
739397;0;23.08;4.16
739398;0;24;4.48
739399;0;24.38;4.62
739400;0;24.25;4.59
739401;0;25.84;5.17
739402;0;27.26;5.71
739403;0;27.23;5.7
739404;0;24.93;4.85
739405;0;23.54;4.36
739406;0;23.51;4.36
739407;0;23.69;4.43
739408;0;25.64;5.13
739409;0;28.48;6.15
739410;0;23.03;4.21
739411;0;16.69;2.32
739412;2.6;14.83;1.86
739413;0;16.38;2.24
739414;0;17.72;2.59
739415;0;20.03;3.26
739416;0;22.28;3.97
739417;0;24.14;4.61
739418;0;22.92;4.19
739419;0;22.4;4.02
739420;0;23.49;4.39
739421;0;20.45;3.39
739422;8.3;15.35;1.99
739423;0;16.07;2.17
739424;0;20.96;3.55
739425;0;25.03;4.94
739426;0;26.74;5.59
739427;0;27.53;5.87
739428;0;26.91;5.65
739429;0;23.1;4.25
739430;0;18.76;2.89
739431;4.4;16.88;2.37
739432;2.9;17.35;2.5
739433;0;19.49;3.09
739434;0;22.22;3.95
739435;0;25.47;5.08
739436;0;27.75;5.92
739437;0;30;6.58
739438;0;29.74;6.51
739439;0;22.37;3.98
739440;0;22.77;4.11
739441;0;23.54;4.37
739442;0;24.99;4.87
739443;0;27.58;5.83
739444;0;29.06;6.28
739445;0;28.46;6.09
739446;0;26.69;5.49
739447;0;26.21;5.29
739448;0;26.27;5.31
739449;0;26.72;5.48
739450;0;28.37;6.03
739451;0;27.81;5.84
739452;0;30.5;6.58
739453;0;30.68;6.61
739454;0;26.63;5.4
739455;0;28.29;5.95
739456;0;30.09;6.44
739457;0;31.1;6.66
739458;0;29.78;6.34
739459;0;29.04;6.13
739460;0;27.99;5.8
739461;0;28.43;5.93
739462;0;31.13;6.6
739463;0;30.96;6.55
739464;0;30.5;6.44
739465;0;30.38;6.39
739466;0;28.32;5.83
739467;0;28.34;5.83
739468;0;29;6
739469;0;29.24;6.05
739470;0;28.75;5.9
739471;0;29.54;6.1
739472;0;28.65;5.85
739473;0;28.7;5.85
739474;0;29.67;6.09
739475;0;29.87;6.13
739476;0;28.22;5.67
739477;0;25.92;4.88
739478;0;24.29;4.31
739479;0;26.68;5.13
739480;0;27.91;5.51
739481;0;29.05;5.82
739482;0;30.1;6.07
739483;0;29.71;5.96
739484;0;29.03;5.77
739485;0;28.85;5.71
739486;0;26.48;4.95
739487;0;26.4;4.91
739488;0;28.05;5.44
739489;0;28.65;5.59
739490;0;27.16;5.13
739491;0;27.16;5.12
739492;0;27.3;5.14
739493;0.5;26.17;4.75
739494;0;26.37;4.8
739495;0;26.08;4.69
739496;0;24.93;4.3
739497;0;24.62;4.19
739498;0;24;3.98
739499;0;22.74;3.59
739500;0;23.81;3.9
739501;0;22.77;3.58
739502;9.1;20.2;2.86
739503;2.4;20.27;2.87
739504;0;20.55;2.93
739505;0;20.38;2.87
739506;0;20.78;2.97
739507;0;22.13;3.33
739508;0;23.9;3.83
739509;0;22.15;3.32
739510;0;23.71;3.75
739511;0;25.2;4.18
739512;0;23.34;3.62
739513;0;22.24;3.3
739514;0;21.21;3.01
739515;0;19.98;2.68
739516;0;19.41;2.53
739517;0;18.39;2.29
739518;0;17.97;2.18
739519;0;17.75;2.12
739520;0;18.51;2.29
739521;1.4;18.88;2.37
739522;11.3;17.85;2.12
739523;0;17.9;2.13
739524;0;19.95;2.6
739525;0;21.44;2.96
739526;0;21.49;2.96
739527;0;21.99;3.08
739528;3.6;19.66;2.49
739529;0;19.43;2.43
739530;0;20.4;2.65
739531;0;21.82;2.99
739532;14;20.23;2.59
739533;0.3;15.98;1.67
739534;63.6;15.42;1.56
739535;0.1;14.96;1.47
739536;5.3;15.77;1.61
739537;32.9;17.33;1.91
739538;8.9;17.2;1.88
739539;53.7;16.95;1.82
739540;14.2;14.83;1.42
739541;57.6;15.46;1.53
739542;27.2;13.58;1.2
739543;0;14.14;1.28
739544;0;16.54;1.71
739545;0;17.06;1.81
739546;0;18.28;2.05
739547;0;17.87;1.96
739548;0;17.9;1.96
739549;0;17.85;1.94
739550;0.2;16.33;1.64
739551;42.4;10.5;0.72
739552;2.8;10.19;0.68
739553;7;9.56;0.6
739554;59.3;9.42;0.58
739555;95.3;9.97;0.64
739556;49.5;12.25;0.94
739557;0;14.1;1.22
739558;0.1;15;1.36
739559;0;15.14;1.38
739560;0;16.37;1.6
739561;0;16.12;1.55
739562;0;15.77;1.48
739563;0;16.09;1.53
739564;0;17.1;1.71
739565;0;14.78;1.3
739566;0;14.15;1.2
739567;0;13.65;1.12
739568;0;13.56;1.1
739569;11.2;10.46;0.68
739570;23.7;11.33;0.78
739571;0;13.67;1.11
739572;0.2;15.76;1.44
739573;0.1;15.14;1.33
739574;0;13.98;1.15
739575;0;14.94;1.29
739576;0;13.18;1.02
739577;0;10.8;0.7
739578;0;12.08;0.86
739579;0;13.64;1.08
739580;0;16.14;1.48
739581;15.4;15.52;1.37
739582;0;12.09;0.86
739583;0;12.75;0.95
739584;0;13.29;1.02
739585;0;16.34;1.5
739586;0;16.52;1.52
739587;0;15.21;1.31
739588;0.1;15.5;1.35
739589;0;13.44;1.03
739590;0.1;10.67;0.67
739591;0;9.95;0.59
739592;0;12.12;0.85
739593;0;12.68;0.92
739594;0;9.29;0.52
739595;0;5.63;0.2
739596;0;4.91;0.16
739597;0;5.16;0.17
739598;8.1;6.01;0.23
739599;0;7.29;0.33
739600;0;7.09;0.31
739601;0;8.05;0.39
739602;0;9.95;0.59
739603;0;9.96;0.59
739604;0;13.63;1.05
739605;11;12.42;0.88
739606;0;10.37;0.63
739607;0;8.15;0.4
739608;0;8.21;0.41
739609;0;9.05;0.49
739610;0;9.21;0.51
739611;0;11.51;0.77
739612;0;11.9;0.82
739613;0;10.25;0.62
739614;0;8.41;0.43
739615;0;7.74;0.37
739616;0;8.32;0.42
739617;0;6.8;0.29
739618;0;6.88;0.31
739619;0;7.52;0.36
739620;0;6.86;0.31
739621;0;8.48;0.45
739622;4.1;10.1;0.62
739623;24.6;8.4;0.44
739624;0;7.45;0.36
739625;4.3;10.23;0.64
739626;53.7;11.69;0.82
739627;0;9.54;0.56
739628;0;11.23;0.76
739629;0;11.61;0.81
739630;0;7.96;0.41
739631;0;6.38;0.27
739632;0;4.91;0.17
739633;0;5.8;0.23
739634;0;5.98;0.24
739635;0;6.02;0.25
739636;0;6.64;0.3
739637;21.1;8.11;0.43
739638;0;11.64;0.83
739639;0;12.82;0.99
739640;0.3;11.95;0.88
739641;0;11.84;0.86
739642;15.8;10.15;0.65
739643;20.8;10.68;0.72
739644;100.3;12.22;0.92
739645;14.1;7.63;0.39
739646;17.8;6.91;0.33
739647;14.9;5.92;0.25
739648;0;5.56;0.22
739649;0;6.4;0.29
739650;1.1;7.23;0.36
739651;9.2;6.94;0.33
739652;0;7.13;0.35
739653;0;7.96;0.43
739654;0;7.96;0.43
739655;4;7.45;0.38
739656;19.4;9.4;0.59
739657;0;8.84;0.53
739658;0;9.09;0.56
739659;2.6;11.14;0.81
739660;2;9.28;0.58
739661;0;9.38;0.6
739662;0;11.13;0.82
739663;0;14.13;1.27
739664;0;11.82;0.92
739665;0;10.74;0.78
739666;0;12.36;1.01
739667;0;11.42;0.87
739668;0;11.78;0.93
739669;0;13.19;1.15
739670;23.9;11.01;0.83
739671;0;10.28;0.73
739672;0;10.55;0.77
739673;1.2;9.66;0.66
739674;0;10.75;0.8
739675;0;9.96;0.7
739676;31.8;8.44;0.52
739677;0.1;8.33;0.51
739678;7.6;8.62;0.54
739679;0.3;10.95;0.84
739680;0;11.34;0.9
739681;13.4;11.03;0.86
739682;13;9.35;0.64
739683;7.2;9.71;0.69
739684;45.5;7.71;0.45
739685;80.7;4.86;0.19
739686;74.7;7.32;0.41
739687;60.6;8.88;0.59
739688;34.2;8.41;0.54
739689;71.2;8.29;0.52
739690;36.3;6.55;0.34
739691;5.3;6.59;0.35
739692;33.9;7.01;0.39
739693;60.9;8.82;0.59
739694;45.6;8.94;0.61
739695;0;11.54;0.98
739696;34.8;11.34;0.95
739697;58.1;8.9;0.61
739698;23.6;6.7;0.36
739699;53.2;5.01;0.22
739700;0;6.45;0.34
739701;1;8.38;0.56
739702;0;10.49;0.84
739703;0;11.31;0.97
739704;0;12.08;1.1
739705;0;14.16;1.47
739706;0;14.85;1.61
739707;0;17.09;2.09
739708;0;14.59;1.57
739709;5.5;12.01;1.1
739710;22.6;11.08;0.95
739711;21.8;10.86;0.92
739712;2.4;10.24;0.83
739713;0;10.98;0.95
739714;0;14.22;1.53
739715;0;17.36;2.21
739716;0;19.86;2.83
739717;0;18.23;2.43
739718;1;15.49;1.81
739719;8.7;14.14;1.53
739720;3.4;12.78;1.28
739721;11;11.17;1
739722;12.6;7.84;0.53
739723;2;8.13;0.56
739724;12.9;11.09;1
739725;0;12.65;1.27
739726;4.8;10.82;0.96
739727;10.2;8.33;0.59
739728;0.1;12.63;1.28
739729;0;13.06;1.36
739730;0;15.47;1.87
739731;0;19.74;2.93
739732;0;18.95;2.72
739733;0;17.7;2.41
739734;0;18.27;2.56
739735;0;17.6;2.4
739736;0;16.6;2.16
739737;5.1;12.83;1.35
739738;2.3;13.8;1.55
739739;21.1;13.94;1.58
739740;0.4;13.2;1.43
739741;2.8;12.77;1.35
739742;5.3;11.88;1.19
739743;0;14.18;1.64
739744;0;14.81;1.79
739745;0;12.34;1.28
739746;0;12.68;1.35
739747;0;13.91;1.6
739748;0;13.29;1.48
739749;0;13.89;1.6
739750;0;13.72;1.57
739751;0;14.23;1.68
739752;0;14.35;1.71
739753;0;17.17;2.39
739754;0;19.24;2.95
739755;0;21.29;3.56
739756;0;17.44;2.47
739757;0;19.21;2.96
739758;0;20.96;3.47
739759;0;22.26;3.88
739760;25.8;17.59;2.53
739761;0;17.55;2.52
739762;0;20.46;3.35
739763;0;22.67;4.04
739764;0;23.73;4.4
739765;0;24.55;4.69
739766;0;27.45;5.76
739767;0;27.72;5.86
739768;0;28.72;6.18
739769;0;28;5.96
739770;0;23.7;4.42
739771;0;17.43;2.52
739772;0;18.23;2.74
739773;0;21.7;3.78
739774;0;23.69;4.44
739775;0;25.68;5.15
739776;0;29.25;6.38
739777;0;29.21;6.38
739778;0;26.08;5.31
739779;0;22.16;3.94
739780;0;21.87;3.85
739781;0;24.12;4.61
739782;0;25.46;5.1
739783;0;26.64;5.55
739784;0;28.76;6.27
739785;0;30.68;6.78
739786;0;29.42;6.46
739787;0;29.88;6.59
739788;0;31.11;6.88
739789;0;31.45;6.95
739790;0;30.2;6.67
739791;0;30.11;6.65
739792;0;26.02;5.31
739793;0;22.72;4.14
739794;0;26;5.3
739795;0;29.02;6.34
739796;0;30.74;6.79
739797;0;31.9;7.03
739798;0;31.47;6.94
739799;0;31.29;6.9
739800;0;31.85;7.01
739801;0;30.73;6.77
739802;0;29.7;6.51
739803;0;28.22;6.07
739804;0;26.78;5.57
739805;0;27.97;5.98
739806;0;27.89;5.95
739807;0;27.51;5.81
739808;0;26.8;5.56
739809;0;22.22;3.93
739810;0;18.43;2.78
739811;0;22.81;4.11
739812;0;26.75;5.51
739813;0;28.83;6.19
739814;0;29.73;6.43
739815;0;29.84;6.45
739816;0;28.18;5.97
739817;0;24.72;4.73
739818;0;25.33;4.94
739819;0;25.42;4.96
739820;0;26.2;5.23
739821;0;26.67;5.41
739822;0;27.13;5.56
739823;0;26.61;5.37
739824;0;27.38;5.63
739825;0;28.68;6.03
739826;0;29.28;6.18
739827;0;27.99;5.79
739828;0;27.86;5.74
739829;0;27.7;5.68
739830;0;27.8;5.7
739831;0;29;6.04
739832;0;30.44;6.39
739833;0;30.15;6.31
739834;0;30.89;6.46
739835;0;30.36;6.33
739836;0;31.02;6.46
739837;0;29.3;6.04
739838;0;29.53;6.09
739839;0;31.4;6.49
739840;0;31.44;6.48
739841;0;33.2;6.75
739842;0;31.9;6.54
739843;0;31.44;6.43
739844;0;32.11;6.54
739845;0;33.3;6.7
739846;0;33.59;6.72
739847;0;32.23;6.51
739848;0;26.78;5.12
739849;0;23.79;4.1
739850;0;24.62;4.36
739851;0;25.1;4.5
739852;0;25.7;4.69
739853;0;24.88;4.41
739854;0.3;27.33;5.21
739855;0;26.57;4.95
739856;0;25.21;4.48
739857;0;21.21;3.25
739858;0;21.84;3.42
739859;0;25.53;4.54
739860;0;24.68;4.25
739861;0;20.59;3.04
739862;0;22.35;3.52
739863;0;24.65;4.21
739864;0;26.12;4.66
739865;0;25.87;4.57
739866;0;26.76;4.85
739867;0;25.67;4.47
739868;0;25.12;4.29
739869;0;20.28;2.89
739870;0;19.97;2.8
739871;0;23.68;3.81
739872;0;26.16;4.56
739873;0;26.29;4.59
739874;0;26.35;4.59
739875;0;26.48;4.62
739876;0;26.98;4.77
739877;0;28.27;5.12
739878;0;28.49;5.16
739879;0;28.13;5.05
739880;0;27.65;4.9
739881;0;24.36;3.89
739882;0;19.89;2.67
739883;0;19.6;2.59
739884;0;20.29;2.75
739885;0;19.92;2.65
739886;0;20.19;2.71
739887;0;20.65;2.81
739888;39.3;15.78;1.71
739889;12.8;15.22;1.6
739890;0;17;1.95
